vignette_id,run_id,s_norm,n_eff,condition_number,n_voices
BANCO-001,1,0.2010026197,1.7459478636,418.511670,16
BANCO-001,2,0.2033136929,1.7342649904,425.382200,15
BANCO-001,3,0.2098693216,1.7894016928,447.362948,16
BANCO-001,4,0.2028274249,1.7319827470,391.991919,15
BANCO-001,5,0.2099200333,1.7896533050,465.655777,16
BANCO-001,6,0.2076447833,1.7547256102,347.483764,15
BANCO-001,7,0.2029046767,1.7551796535,384.401841,16
BANCO-001,8,0.2062613983,1.7481642214,328.008855,15
BANCO-001,9,0.1954220612,1.7191414394,425.825769,16
BANCO-001,10,0.2037271516,1.7591867052,464.438755,16
BANCO-001,11,0.2014433595,1.7480826989,412.214576,16
BANCO-001,12,0.2023946333,1.7526993366,471.392508,16
BANCO-001,13,0.2099283293,1.7896944704,338.991504,16
BANCO-001,14,0.2144926271,1.7875693679,351.468764,15
BANCO-001,15,0.2148106591,1.8140857300,336.254320,16
BANCO-001,16,0.2114463078,1.7972426843,358.237681,16
BANCO-001,17,0.2100170031,1.7901345315,346.457274,16
BANCO-001,18,0.2044284933,1.7626108285,483.280896,16
BANCO-001,19,0.1960649843,1.7222086472,424.829064,16
BANCO-001,20,0.1999411986,1.7408172945,444.597322,16
BANCO-001,21,0.2056229001,1.7684575637,382.241351,16
BANCO-001,22,0.2123509158,1.8017560168,395.086671,16
BANCO-001,23,0.2008191108,1.7450597606,428.269176,16
BANCO-001,24,0.2066194909,1.7498602961,351.001330,15
BANCO-001,25,0.2334064660,1.8815133515,291.272160,15
BANCO-001,26,0.2020812815,1.7284866467,352.397790,15
BANCO-001,27,0.2099302549,1.7897040255,411.990695,16
BANCO-001,28,0.2038792372,1.7599286592,462.359494,16
BANCO-001,29,0.2033725078,1.7574577798,451.370939,16
BANCO-001,30,0.1943246944,1.6925580570,386.496151,15
BANCO-002,1,0.2050379454,1.7423818376,338.030001,15
BANCO-002,2,0.2022656995,1.7520728930,393.350664,16
BANCO-002,3,0.1984425725,1.7335990766,411.908726,16
BANCO-002,4,0.2157773326,1.7937992363,311.621199,15
BANCO-002,5,0.2079866944,1.7800857961,384.348943,16
BANCO-002,6,0.1937630525,1.7112519791,474.847747,16
BANCO-002,7,0.2008348936,1.7451361247,383.286371,16
BANCO-002,8,0.2306754509,1.8676495239,325.837762,15
BANCO-002,9,0.2158382351,1.8192615125,378.580230,16
BANCO-002,10,0.2123397568,1.8017002725,346.030392,16
BANCO-002,11,0.2148385503,1.8142260201,344.990277,16
BANCO-002,12,0.2091681106,1.7859261722,398.551721,16
BANCO-002,13,0.2210456861,1.8457187653,395.805944,16
BANCO-002,14,0.2131330021,1.8056671902,435.834896,16
BANCO-002,15,0.2184497264,1.8324818453,410.686620,16
BANCO-002,16,0.2007457200,1.7222464038,393.709652,15
BANCO-002,17,0.2005371602,1.7212739702,351.051140,15
BANCO-002,18,0.2044116991,1.7625287569,449.197698,16
BANCO-002,19,0.2156988552,1.8185586071,438.592764,16
BANCO-002,20,0.1927113958,1.7062695583,433.134088,16
BANCO-002,21,0.1952392095,1.7182701026,434.007877,16
BANCO-002,22,0.2059215593,1.7699225577,448.593575,16
BANCO-002,23,0.2163118992,1.7697875357,307.107476,14
BANCO-002,24,0.2331648591,1.9087913844,366.178224,16
BANCO-002,25,0.1997754055,1.7177268657,355.956663,15
BANCO-002,26,0.1980643590,1.7317821246,422.664065,16
BANCO-002,27,0.2107007140,1.7693072945,449.705904,15
BANCO-002,28,0.2081365539,1.7808255735,378.776400,16
BANCO-002,29,0.2142948241,1.8114930821,405.234843,16
BANCO-002,30,0.2132129230,1.7813852624,358.198302,15
BANCO-003,1,0.1898251953,1.6926700537,434.067276,16
BANCO-003,2,0.1912980107,1.6995962230,506.635038,16
BANCO-003,3,0.1859964104,1.6747963067,622.449575,16
BANCO-003,4,0.1936497463,1.6894672364,428.556184,15
BANCO-003,5,0.2061285474,1.7709385953,472.928718,16
BANCO-003,6,0.2079266229,1.7797893413,422.456506,16
BANCO-003,7,0.1925289611,1.7054067173,466.261464,16
BANCO-003,8,0.2035688943,1.7584149743,421.337028,16
BANCO-003,9,0.1963027083,1.7233441477,409.421486,16
BANCO-003,10,0.1893158480,1.6902813344,532.086599,16
BANCO-003,11,0.1951088679,1.7176492601,474.808372,16
BANCO-003,12,0.1893615144,1.6699613581,429.029393,15
BANCO-003,13,0.2054381839,1.7675520943,577.522155,16
BANCO-003,14,0.1959851274,1.7001858417,416.477068,15
BANCO-003,15,0.1925463231,1.7054888136,483.294506,16
BANCO-003,16,0.1954148927,1.7191072709,448.527141,16
BANCO-003,17,0.1993896460,1.7381572216,437.899621,16
BANCO-003,18,0.1968027605,1.7257351166,405.549668,16
BANCO-003,19,0.1926206622,1.7058403713,372.452574,16
BANCO-003,20,0.1944055361,1.6929286379,417.201642,15
BANCO-003,21,0.1908488308,1.6974808785,497.581093,16
BANCO-003,22,0.1981021063,1.7319633782,463.720326,16
BANCO-003,23,0.2098449399,1.7892807326,441.126403,16
BANCO-003,24,0.2037768942,1.7594293415,469.476381,16
BANCO-003,25,0.2044025162,1.7624838827,477.298116,16
BANCO-003,26,0.2122599534,1.8013016692,381.873226,16
BANCO-003,27,0.2007101314,1.7220804291,486.020661,15
BANCO-003,28,0.2017302935,1.7494739394,413.578156,16
BANCO-003,29,0.1885717629,1.6663936500,505.232487,15
BANCO-003,30,0.1983331300,1.7330731148,412.006881,16
BANCO-004,1,0.1988153987,1.7353920133,462.636129,16
BANCO-004,2,0.1969648835,1.7265110097,393.019976,16
BANCO-004,3,0.2093878291,1.7870144701,414.149194,16
BANCO-004,4,0.2150068388,1.8150727263,408.726539,16
BANCO-004,5,0.2096452052,1.7882901350,452.127599,16
BANCO-004,6,0.2242345251,1.8621097433,411.499769,16
BANCO-004,7,0.2145194478,1.8126216117,388.239543,16
BANCO-004,8,0.2211567676,1.8201221767,358.461680,15
BANCO-004,9,0.2158067438,1.8191026757,405.076569,16
BANCO-004,10,0.2045259215,1.7399675486,383.398955,15
BANCO-004,11,0.2098702839,1.7894064671,431.153826,16
BANCO-004,12,0.2070745404,1.7755895977,414.556578,16
BANCO-004,13,0.2160094810,1.8201254931,398.163035,16
BANCO-004,14,0.2108959071,1.7945021210,347.593409,16
BANCO-004,15,0.2012880352,1.7473300483,415.895674,16
BANCO-004,16,0.2081786146,1.7810332598,398.650473,16
BANCO-004,17,0.2266712467,1.8747327991,376.136885,16
BANCO-004,18,0.2108649050,1.7943478793,442.493248,16
BANCO-004,19,0.2087571957,1.7838926283,414.848434,16
BANCO-004,20,0.2213379963,1.8472152453,395.396144,16
BANCO-004,21,0.2163114888,1.8216502012,369.717779,16
BANCO-004,22,0.2150396392,1.8152377999,363.705188,16
BANCO-004,23,0.2174079052,1.8271962828,419.615665,16
BANCO-004,24,0.2107071474,1.7935632087,406.847395,16
BANCO-004,25,0.2055590084,1.7681443177,409.052044,16
BANCO-004,26,0.2203754999,1.8422923261,413.805376,16
BANCO-004,27,0.2141059062,1.8105444857,365.942879,16
BANCO-004,28,0.2252496328,1.8673579889,353.744334,16
BANCO-004,29,0.2249122757,1.8656121675,382.698334,16
BANCO-004,30,0.2136547515,1.8082811521,371.983751,16
BANCO-005,1,0.1910066278,1.6982236995,478.081618,16
BANCO-005,2,0.1738767171,1.6194533030,465.659519,16
BANCO-005,3,0.1756483180,1.6090830182,424.814422,15
BANCO-005,4,0.1909340662,1.6978820791,475.902182,16
BANCO-005,5,0.1787762590,1.6416027307,477.383017,16
BANCO-005,6,0.1788763026,1.6420581413,427.697283,16
BANCO-005,7,0.1932519470,1.7088287063,427.031630,16
BANCO-005,8,0.1725289250,1.5955475838,442.960094,15
BANCO-005,9,0.1740392278,1.6020866979,455.074488,15
BANCO-005,10,0.1797187649,1.6458981462,430.764859,16
BANCO-005,11,0.1750656402,1.6248004686,466.781338,16
BANCO-005,12,0.1729417658,1.5973323932,479.634985,15
BANCO-005,13,0.1780210902,1.6194556094,351.004039,15
BANCO-005,14,0.1718846364,1.6105333611,493.007708,16
BANCO-005,15,0.1786791005,1.6411605744,446.628901,16
BANCO-005,16,0.1809695329,1.6516158073,428.667934,16
BANCO-005,17,0.1943540593,1.6926926574,404.458366,15
BANCO-005,18,0.1731986983,1.6164118054,527.146629,16
BANCO-005,19,0.1801463897,1.6288031262,403.908535,15
BANCO-005,20,0.1804551927,1.6492621930,453.131431,16
BANCO-005,21,0.1744631250,1.6220884617,399.114309,16
BANCO-005,22,0.1748176523,1.6236836909,459.549153,16
BANCO-005,23,0.1756014083,1.6272158454,453.152845,16
BANCO-005,24,0.1759086316,1.6102177287,421.981489,15
BANCO-005,25,0.1730443507,1.6157202220,415.004845,16
BANCO-005,26,0.1809300941,1.6514352171,464.442386,16
BANCO-005,27,0.1865655400,1.6774411581,380.824754,16
BANCO-005,28,0.1886808144,1.6453275553,359.552127,14
BANCO-005,29,0.1656053058,1.5659105590,516.195904,15
BANCO-005,30,0.1810181308,1.6518383643,459.223393,16
BANCO-006,1,0.1841219306,1.6464334964,434.256229,15
BANCO-006,2,0.1695732788,1.6002453486,617.894209,16
BANCO-006,3,0.1703820906,1.6038379293,531.345561,16
BANCO-006,4,0.1728939207,1.6150464772,475.945322,16
BANCO-006,5,0.1723686033,1.5948550126,486.785603,15
BANCO-006,6,0.1764822327,1.6311946297,438.895472,16
BANCO-006,7,0.1710849023,1.6069662277,490.450945,16
BANCO-006,8,0.1835443957,1.6438604978,411.688141,15
BANCO-006,9,0.1761553812,1.5918297644,483.353045,14
BANCO-006,10,0.1792728277,1.6249545026,463.267938,15
BANCO-006,11,0.1791950163,1.6246121331,431.787921,15
BANCO-006,12,0.1858996987,1.6543790077,391.890581,15
BANCO-006,13,0.1870488210,1.6595352567,491.527977,15
BANCO-006,14,0.1739645250,1.6017626306,484.627170,15
BANCO-006,15,0.1681076987,1.5765581536,435.267750,15
BANCO-006,16,0.1832529346,1.6425635248,444.635727,15
BANCO-006,17,0.1774696368,1.6170389782,420.116015,15
BANCO-006,18,0.1727046420,1.6141991359,482.942462,16
BANCO-006,19,0.1737677143,1.6189639459,494.364071,16
BANCO-006,20,0.1885312439,1.6662108112,407.586470,15
BANCO-006,21,0.1738382454,1.6192805712,534.512195,16
BANCO-006,22,0.1708510268,1.5883141288,428.403876,15
BANCO-006,23,0.1695988858,1.5829374977,420.065948,15
BANCO-006,24,0.1757642407,1.6279506462,479.499771,16
BANCO-006,25,0.1711396152,1.5895559003,466.093949,15
BANCO-006,26,0.1736174736,1.6182896977,558.774633,16
BANCO-006,27,0.1829911553,1.6608993179,558.744355,16
BANCO-006,28,0.1689742669,1.5975898451,530.410019,16
BANCO-006,29,0.1758606450,1.6100084947,425.660606,15
BANCO-006,30,0.1818498986,1.6363344592,399.584838,15
BANCO-007,1,0.1791985621,1.6435259645,476.521566,16
BANCO-007,2,0.1779784564,1.6192686468,491.284332,15
BANCO-007,3,0.1740025272,1.6200182987,453.301680,16
BANCO-007,4,0.1784868800,1.6402861539,484.633206,16
BANCO-007,5,0.1749398300,1.6242338045,520.167889,16
BANCO-007,6,0.1755670757,1.6087290456,509.693359,15
BANCO-007,7,0.1813217359,1.6532294212,479.891278,16
BANCO-007,8,0.1859781424,1.6747114809,496.510118,16
BANCO-007,9,0.1864964295,1.6570546071,425.126894,15
BANCO-007,10,0.1723763614,1.6127305812,559.466318,16
BANCO-007,11,0.1800811747,1.6285154962,459.143559,15
BANCO-007,12,0.1975048865,1.7290978889,452.369178,16
BANCO-007,13,0.1681719167,1.5768323498,450.662439,15
BANCO-007,14,0.1788676931,1.6231727024,443.917767,15
BANCO-007,15,0.1709795853,1.6064970607,509.309364,16
BANCO-007,16,0.1720584900,1.6113098648,516.259211,16
BANCO-007,17,0.1776615931,1.6365371727,451.731172,16
BANCO-007,18,0.1815785302,1.6544069148,521.701696,16
BANCO-007,19,0.1779191361,1.6377061770,466.926125,16
BANCO-007,20,0.1660676518,1.5847668499,552.599261,16
