model,pinned_identifier,family,line,scale_pair,scale_role
anthropic/claude-haiku-4.5,anthropic/claude-4.5-haiku-20251001,anthropic,claude,claude-4.5,small
anthropic/claude-sonnet-4.5,anthropic/claude-4.5-sonnet-20250929,anthropic,claude,claude-4.5,large
deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash-20260423,deepseek,deepseek,deepseek-v4,small
deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,deepseek,deepseek,deepseek-v4,large
google/gemini-2.5-flash,google/gemini-2.5-flash,google,gemini,,
google/gemini-3-flash-preview,google/gemini-3-flash-preview-20251217,google,gemini,,
google/gemma-4-26b-a4b-it,google/gemma-4-26b-a4b-it-20260403,google,gemma,gemma-4,small
google/gemma-4-31b-it,google/gemma-4-31b-it-20260402,google,gemma,gemma-4,large
meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,meta,meta,,
minimax/minimax-m3,minimax/minimax-m3-20260531,minimax,minimax,,
mistralai/ministral-14b-2512,mistralai/ministral-14b-2512,mistral,mistral,mistral,small
mistralai/mistral-large-2512,mistralai/mistral-large-2512,mistral,mistral,mistral,large
openai/gpt-4o,openai/gpt-4o,openai,openai,,
qwen/qwen3.7-plus,qwen/qwen3.7-plus-20260602,qwen,qwen,,
x-ai/grok-4.3,x-ai/grok-4.3-20260430,xai,xai,,
z-ai/glm-5.2,z-ai/glm-5.2-20260616,zai,zai,,
